"filename", "language", "YAML", "Python", "toml", "pip requirements", "Log", "JSON", "JavaScript", "HTML", "XML", "Markdown", "CSS", "comment", "blank", "total"
"e:\Programming\EliteMangaNew\backend\tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"e:\Programming\EliteMangaNew\backend\urls.py", "Python", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 56
"e:\Programming\EliteMangaNew\backend\views.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"e:\Programming\EliteMangaNew\backend\viewsets.py", "Python", 0, 464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 117, 791
"e:\Programming\EliteMangaNew\debug.log", "Log", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\Programming\EliteMangaNew\elitemanga\settings\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Programming\EliteMangaNew\elitemanga\settings\base.py", "Python", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 104
"e:\Programming\EliteMangaNew\elitemanga\settings\dev.py", "Python", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 58
"e:\Programming\EliteMangaNew\elitemanga\settings\gcloud.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 33
"e:\Programming\EliteMangaNew\elitemanga\settings\prod.py", "Python", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 55
"e:\Programming\EliteMangaNew\elitemanga\urls.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\Programming\EliteMangaNew\elitemanga\wsgi.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"e:\Programming\EliteMangaNew\fetchmanga\MangaEden\mangachapters\boku-no-hero-academia.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Programming\EliteMangaNew\fetchmanga\MangaEden\mangaid.json", "JSON", 0, 0, 0, 0, 0, 7041, 0, 0, 0, 0, 0, 0, 0, 7041
"e:\Programming\EliteMangaNew\fetchmanga\MangaEden\scraper.py", "Python", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 14, 117
"e:\Programming\EliteMangaNew\fetchmanga\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Programming\EliteMangaNew\main.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 11
"e:\Programming\EliteMangaNew\manage.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22
"e:\Programming\EliteMangaNew\polls\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Programming\EliteMangaNew\polls\admin.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"e:\Programming\EliteMangaNew\polls\apps.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"e:\Programming\EliteMangaNew\polls\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Programming\EliteMangaNew\polls\models.py", "Python", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"e:\Programming\EliteMangaNew\polls\tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"e:\Programming\EliteMangaNew\polls\views.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
